UID,Combined Key,Study Identifier,Is Target Cell,Is Naturally Occuring,Object Index,Size,Area,Length,Width,Perimeter,Circularity,"Mean[Stitched[Tsf[:DAPI 377,447]]]","Mean[Stitched[Tsf[:GFP 469,525]]]","Mean[Stitched[Tsf[:CY5 628,685]]]","Peak[Stitched[Tsf[:DAPI 377,447]]]","Peak_2[Stitched[Tsf[:GFP 469,525]]]","Peak_2[Stitched[Tsf[:CY5 628,685]]]","Integral[Stitched[Tsf[:DAPI 377,447]]]","Integral_2[Stitched[Tsf[:GFP 469,525]]]","Integral_2[Stitched[Tsf[:CY5 628,685]]]","Mask Size_2[Stitched[Tsf[:GFP 469,525]]]","Mask Size_2[Stitched[Tsf[:CY5 628,685]]]","Mean_2[Stitched[Tsf[:GFP 469,525]]]","Mean_2[Stitched[Tsf[:CY5 628,685]]]",Mean[Stitched[Tsf[:Bright Field]]],Integral[Stitched[Tsf[:Bright Field]]],X Center Microns,Y Center Microns,ratio,"Peak[Stitched[Tsf[:GFP 469,525]]]","Peak[Stitched[Tsf[:CY5 628,685]]]",X Center Pixels,Y Center Pixels
64102,1A11119191204170421,191204_170421,1,0,1119,12.1,114,12.5,11.6,40.2,0.852,35665,6060,1570,63675,26497,0,1497922,2619292,0,30.7,0,9665,0,27309,1146976,10701.7,3367.7,3.86,15777,3606,6494.239365,2043.679212
64103,1A11120191204170421,191204_170421,1,0,1120,14.7,163,17.4,11.9,48.1,0.47,40473,12286,2755,63588,20284,5791,2428392,2863339,5791,32.9,1.6,9513,5791,33744,2024656,12996.3,3370,4.46,20284,6191,7886.698661,2045.074961
64104,1A11121191204170421,191204_170421,1,0,1121,7.2,32.6,10.4,4,21,0.146,13371,7580,7126,16683,13594,10290,160450,1606586,105588,26.1,7.5,8368,7039,12340,148080,19235.7,3367.4,1.06,8792,10290,11673.02766,2043.497158
64105,1A11122191204170421,191204_170421,1,0,1122,13.6,144,14.8,12.4,45.8,0.696,34583,12164,2330,62930,19717,0,1832891,1607573,0,24.7,0,9802,0,28439,1507248,7415.8,3380.6,5.22,19717,5159,4500.217749,2051.507541
64106,1A11123191204170421,191204_170421,1,0,1123,19.1,217,28.4,9.7,72.6,0.117,19292,7091,7524,31680,13513,16836,1543356,2422514,567681,33,17.6,7789,8110,14613,1169040,3832.6,3385.2,0.942,11322,16836,2325.782053,2054.299038
64107,1A11124191204170421,191204_170421,1,0,1124,9.6,70.6,11.3,8,29.9,0.502,16969,9104,8099,25700,15447,12590,441192,2302710,195729,30.2,9.1,8789,8510,13126,341264,2509.7,3386.5,1.12,11079,12590,1522.990977,2055.087939
64108,1A11125191204170421,191204_170421,1,0,1125,17.7,236,21.2,14.2,57.1,0.448,41108,10116,2855,63435,23139,8649,3576416,3382528,97441,36.6,7.2,8948,6960,34614,3011392,19563.9,3397,3.54,23139,8649,11872.19316,2061.459834
64109,1A11126191204170421,191204_170421,1,0,1126,14.1,155,15.4,12.8,50.5,0.686,11898,2925,2489,16340,13366,0,678182,842082,0,18.2,0,9569,0,29874,1702816,7406.2,3395.1,1.18,6771,3954,4494.392067,2060.306825
64110,1A11127191204170421,191204_170421,1,0,1127,23.1,413,25.9,20.3,76.7,0.615,44963,10130,2642,63511,17499,7020,6834336,3989753,118867,39.5,8.5,8946,5943,37961,5770080,16278.3,3401.3,3.83,17499,7020,9878.353594,2064.069277
64111,1A11128191204170421,191204_170421,1,0,1128,18.2,179,28.4,8,66.1,0.0796,23906,9670,7260,44578,20511,14844,1577791,1786949,447995,29.6,17.6,8429,8296,13781,909536,14006.7,3403.2,1.33,20511,14844,8499.851661,2065.222287
